"","year","season","period","treatment","locality","site","bar","station","count_live","tran_length","area","density","strata"
"1",2017,"winter",14,"control","LC","O","10","LCO10A",79,66,10.06,7.85,"N_LG"
"2",2017,"winter",14,"control","LC","O","9C","LCO9C",409,66,10.06,40.66,"N_LG"
"3",2017,"winter",14,"rocks","LC","O","10","LCO10B",1294,66,10.06,128.65,"N_LG"
"4",2017,"winter",14,"rocks","LC","O","11","LCO11A",1092,66,10.06,108.57,"N_LG"
"5",2017,"winter",14,"rocks","LC","O","11","LCO11B",64,66,10.06,6.36,"N_LG"
"6",2017,"winter",14,"rocks","LC","O","12","LCO12",134,66,10.06,13.32,"N_LG"
"7",2017,"winter",14,"rocks","LC","O","8B","LCO8B",322,66,10.06,32.01,"N_LG"
"8",2017,"winter",14,"rocks","LC","O","9A","LCO9A",556,66,10.06,55.28,"N_LG"
"9",2018,"winter",16,"control","BT","I","1","BTI1",897,23,3.51,255.91,"N_NA"
"10",2018,"winter",16,"control","BT","I","2","BTI2",1108,38.65,5.89,188.11,"N_NA"
"11",2018,"winter",16,"control","BT","I","3","BTI3",1326,39.9,6.08,218.06,"N_NA"
"12",2018,"winter",16,"control","BT","I","4","BTI4",627.5,55.8,8.5,73.79,"N_NA"
"13",2018,"winter",16,"control","BT","I","5","BTI5",3988,62.69,9.55,417.42,"N_NA"
"14",2018,"winter",16,"control","LC","N","4","LCN4",35,22,3.35,10.44,"Y_NA"
"15",2018,"winter",16,"control","LC","N","8","LCN8",58,17.5,2.67,21.75,"Y_NA"
"16",2018,"winter",16,"control","LT","I","1","LTI1",692,29.8,4.54,152.37,"N_NA"
"17",2018,"winter",16,"control","LT","I","2","LTI2",190,22.68,3.46,54.97,"N_NA"
"18",2018,"winter",16,"control","LT","I","3","LTI3",883,37.5,5.71,154.51,"N_NA"
"19",2018,"winter",16,"control","LT","I","4","LTI4",1323,34.84,5.31,249.17,"N_NA"
"20",2018,"winter",16,"control","LT","I","5","LTI5",1412,38.75,5.91,239.1,"N_NA"
"21",2018,"winter",16,"control","LT","I","6","LTI6",594,18.87,2.88,206.55,"N_NA"
"22",2018,"winter",16,"control","NN","I","2","NNI2",911,22.85,3.48,261.61,"N_NA"
"23",2018,"winter",16,"control","NN","I","3","NNI3",156,33,5.03,31.02,"N_NA"
"24",2018,"winter",16,"control","NN","I","4","NNI4",571,13.3,2.03,281.71,"N_NA"
"25",2018,"winter",16,"rocks","LC","O","10A","LCO10A",1619,113.4,17.28,93.68,"N_LG"
"26",2018,"winter",16,"rocks","LC","O","11B","LCO11B",276,66.77,10.18,27.12,"N_LG"
"27",2018,"winter",16,"rocks","LC","O","12","LCO12",358.5,111.86,17.05,21.03,"N_LG"
"28",2018,"winter",16,"rocks","LC","O","14","LCO14",3060.5,70.11,10.68,286.44,"N_SM"
"29",2018,"winter",16,"rocks","LC","O","9C","LCO9C",1161,111.2,16.95,68.51,"N_LG"
"38",2019,"winter",16,"control","BT","I","6","BTI6",815.5,17.75,2.71,301.47,"N_NA"
"39",2019,"winter",16,"control","LC","I","1","LCI1",1650,45.39,6.92,238.53,"N_NA"
"40",2019,"winter",16,"control","LC","I","10","LCI10",1686,38.2,5.82,289.61,"Y_NA"
"41",2019,"winter",16,"control","LC","I","11","LCI11",302,17.86,2.72,110.95,"Y_NA"
"42",2019,"winter",16,"control","LC","I","12","LCI12",1106,36.09,5.5,201.09,"Y_NA"
"43",2019,"winter",16,"control","LC","I","13","LCI13",3421.5,71.3,10.87,314.88,"Y_NA"
"44",2019,"winter",16,"control","LC","I","14","LCI14",1501,22.75,3.47,432.93,"Y_NA"
"45",2019,"winter",16,"control","LC","I","15","LCI15",638,20.8,3.17,201.27,"Y_NA"
"46",2019,"winter",16,"control","LC","I","16","LCI16",427.5,24.04,3.66,116.69,"Y_NA"
"47",2019,"winter",16,"control","LC","I","17","LCI17",189,14.65,2.23,84.65,"Y_NA"
"48",2019,"winter",16,"control","LC","I","18","LCI18",1813,68.16,10.39,174.54,"Y_NA"
"49",2019,"winter",16,"control","LC","I","19","LCI19",153,22.21,3.38,45.2,"Y_NA"
"50",2019,"winter",16,"control","LC","I","2","LCI2",1534,32.2,4.91,312.6,"Y_NA"
"51",2019,"winter",16,"control","LC","I","3","LCI3",1104,23.8,3.63,304.37,"Y_NA"
"52",2019,"winter",16,"control","LC","I","4","LCI4",1909,22.5,3.43,556.72,"Y_NA"
"53",2019,"winter",16,"control","LC","I","5","LCI5",942,20.4,3.11,303,"Y_NA"
"54",2019,"winter",16,"control","LC","I","6","LCI6",454,21.5,3.28,138.56,"Y_NA"
"55",2019,"winter",16,"control","LC","I","7","LCI7",853,21.66,3.3,258.41,"N_NA"
"56",2019,"winter",16,"control","LC","I","8","LCI8",96,19,2.9,33.15,"Y_NA"
"57",2019,"winter",16,"control","LC","I","9","LCI9",695,22.24,3.39,205.05,"Y_NA"
"58",2019,"winter",16,"control","LC","N","1","LCN1",109,29.86,4.55,23.95,"Y_NA"
"59",2019,"winter",16,"control","LC","N","2","LCN2",693,32.77,4.99,138.76,"Y_NA"
"60",2019,"winter",16,"control","LC","N","3","LCN3",146,19.9,3.03,48.14,"Y_NA"
"61",2019,"winter",16,"control","LC","N","5","LCN5",700,21.75,3.31,211.18,"Y_NA"
"62",2019,"winter",16,"control","LC","N","6","LCN6",2275,32.4,4.94,460.74,"Y_NA"
"63",2019,"winter",16,"control","LC","N","7","LCN7",611,13.3,2.03,301.44,"Y_NA"
"64",2019,"winter",16,"control","LC","N","9","LCN9",4,36.12,5.5,0.73,"Y_NA"
"65",2019,"winter",16,"control","NN","I","1","NNI1",233.5,14.5,2.21,105.67,"N_NA"
"66",2019,"winter",16,"rocks","LC","O","13","LCO13",3678,62.55,9.53,385.83,"N_SM"
"67",2019,"winter",16,"rocks","LC","O","15","LCO15",3390.5,169.84,25.88,130.99,"N_SM"
"68",2019,"winter",16,"rocks","LC","O","16","LCO16",301.5,68.91,10.5,28.71,"N_SM"
"69",2019,"winter",16,"rocks","LC","O","17","LCO17",209,45.37,6.91,30.23,"Y_SM"
"70",2019,"winter",16,"rocks","LC","O","19","LCO19",557.5,116.31,17.73,31.45,"Y_SM"
"71",2019,"winter",16,"rocks","LC","O","2","LCO2",945,20.86,3.18,297.26,"N_LG"
"72",2019,"winter",16,"rocks","LC","O","20","LCO20",385,87.12,13.28,29,"Y_SM"
"73",2019,"winter",16,"rocks","LC","O","21","LCO21",714,129.01,19.66,36.32,"Y_SM"
